step	vlm_group_size	expert_group_size	vlm_grad_norm	expert_grad_norm_before_clip	expert_grad_norm_after_clip	expert_clip_threshold	expert_clip_scale	expert_clip_applied	expert_clip_skipped_no_vlm
1110	180	76	0.23989411	0.10573657	0.10573657	0.23989411	1.00000000	0	0
1120	180	76	0.51648718	0.18186986	0.18186986	0.51648718	1.00000000	0	0
1130	180	76	0.30492550	0.11308930	0.11308930	0.30492550	1.00000000	0	0
1140	180	76	0.87511486	0.24481905	0.24481905	0.87511486	1.00000000	0	0
1150	180	76	0.35193411	0.12945923	0.12945923	0.35193411	1.00000000	0	0
1160	180	76	0.53662062	0.18595234	0.18595234	0.53662062	1.00000000	0	0
1170	180	76	0.21392240	0.09519499	0.09519499	0.21392240	1.00000000	0	0
1180	180	76	0.47548813	0.15532683	0.15532683	0.47548813	1.00000000	0	0
1190	180	76	0.35748121	0.11899059	0.11899059	0.35748121	1.00000000	0	0
1200	180	76	0.27444312	0.09512665	0.09512665	0.27444312	1.00000000	0	0
1210	180	76	0.38519207	0.13122195	0.13122195	0.38519207	1.00000000	0	0
1220	180	76	0.45371845	0.14201507	0.14201507	0.45371845	1.00000000	0	0
1230	180	76	0.66787392	0.17748988	0.17748988	0.66787392	1.00000000	0	0
1240	180	76	0.48356187	0.13092010	0.13092010	0.48356187	1.00000000	0	0
1250	180	76	0.29794559	0.09744617	0.09744617	0.29794559	1.00000000	0	0
1260	180	76	0.31612578	0.12748685	0.12748685	0.31612578	1.00000000	0	0
1270	180	76	0.27842835	0.09665757	0.09665757	0.27842835	1.00000000	0	0
1280	180	76	0.38856295	0.11176935	0.11176935	0.38856295	1.00000000	0	0
1290	180	76	0.44055429	0.13306403	0.13306403	0.44055429	1.00000000	0	0
1300	180	76	0.62216926	0.17288071	0.17288071	0.62216926	1.00000000	0	0
1310	180	76	0.44423470	0.14743224	0.14743224	0.44423470	1.00000000	0	0
1320	180	76	0.29930136	0.09410676	0.09410676	0.29930136	1.00000000	0	0
1330	180	76	0.27048099	0.09489198	0.09489198	0.27048099	1.00000000	0	0
1340	180	76	0.30240202	0.10957158	0.10957158	0.30240202	1.00000000	0	0
1350	180	76	0.58171010	0.18636118	0.18636118	0.58171010	1.00000000	0	0
1360	180	76	0.49366149	0.15609805	0.15609805	0.49366149	1.00000000	0	0
1370	180	76	0.28023788	0.09599865	0.09599865	0.28023788	1.00000000	0	0
1380	180	76	0.26264298	0.08782464	0.08782464	0.26264298	1.00000000	0	0
1390	180	76	0.36348420	0.11768834	0.11768834	0.36348420	1.00000000	0	0
1400	180	76	0.39982376	0.13747875	0.13747875	0.39982376	1.00000000	0	0
1410	180	76	0.43528736	0.11621500	0.11621500	0.43528736	1.00000000	0	0
1420	180	76	0.30023232	0.12741567	0.12741567	0.30023232	1.00000000	0	0
1430	180	76	0.49970299	0.15031792	0.15031792	0.49970299	1.00000000	0	0
1440	180	76	0.23483789	0.09212922	0.09212922	0.23483789	1.00000000	0	0
1450	180	76	1.15179515	0.31886756	0.31886756	1.15179515	1.00000000	0	0
1460	180	76	0.45082393	0.14617933	0.14617933	0.45082393	1.00000000	0	0
1470	180	76	0.41121683	0.13623661	0.13623661	0.41121683	1.00000000	0	0
1480	180	76	0.44317207	0.14156717	0.14156717	0.44317207	1.00000000	0	0
1490	180	76	0.38015789	0.13232687	0.13232687	0.38015789	1.00000000	0	0
1500	180	76	0.79503465	0.22282912	0.22282912	0.79503465	1.00000000	0	0
1510	180	76	0.64720041	0.19157690	0.19157690	0.64720041	1.00000000	0	0
1520	180	76	0.53459644	0.16280818	0.16280818	0.53459644	1.00000000	0	0
1530	180	76	0.32144269	0.09116861	0.09116861	0.32144269	1.00000000	0	0
1540	180	76	0.55728751	0.14312805	0.14312805	0.55728751	1.00000000	0	0
1550	180	76	0.92759359	0.28468439	0.28468439	0.92759359	1.00000000	0	0
1560	180	76	0.39538828	0.12668999	0.12668999	0.39538828	1.00000000	0	0
1570	180	76	0.38264012	0.13164622	0.13164622	0.38264012	1.00000000	0	0
1580	180	76	0.41637465	0.13475901	0.13475901	0.41637465	1.00000000	0	0
1590	180	76	0.53187120	0.17506008	0.17506008	0.53187120	1.00000000	0	0
1600	180	76	0.48367551	0.15435000	0.15435000	0.48367551	1.00000000	0	0
1610	180	76	0.46141416	0.15140508	0.15140508	0.46141416	1.00000000	0	0
1620	180	76	0.34237951	0.12961721	0.12961721	0.34237951	1.00000000	0	0
1630	180	76	0.51168460	0.15857369	0.15857369	0.51168460	1.00000000	0	0
1640	180	76	0.66223001	0.17324100	0.17324100	0.66223001	1.00000000	0	0
1650	180	76	0.31331265	0.12028950	0.12028950	0.31331265	1.00000000	0	0
1660	180	76	0.28458783	0.11206985	0.11206985	0.28458783	1.00000000	0	0
1670	180	76	0.75797671	0.23784521	0.23784521	0.75797671	1.00000000	0	0
1680	180	76	0.32357481	0.11333255	0.11333255	0.32357481	1.00000000	0	0
1690	180	76	0.52197146	0.17993350	0.17993350	0.52197146	1.00000000	0	0
1700	180	76	0.59540081	0.19562286	0.19562286	0.59540081	1.00000000	0	0
1710	180	76	0.63609082	0.19969729	0.19969729	0.63609082	1.00000000	0	0
1720	180	76	1.14584911	0.34124619	0.34124619	1.14584911	1.00000000	0	0
1730	180	76	0.47504786	0.15005152	0.15005152	0.47504786	1.00000000	0	0
1740	180	76	0.32191885	0.10790203	0.10790203	0.32191885	1.00000000	0	0
1750	180	76	0.61037409	0.21354264	0.21354264	0.61037409	1.00000000	0	0
1760	180	76	0.27077043	0.10111482	0.10111482	0.27077043	1.00000000	0	0
1770	180	76	0.27144620	0.09997703	0.09997703	0.27144620	1.00000000	0	0
1780	180	76	0.24174060	0.09610397	0.09610397	0.24174060	1.00000000	0	0
1790	180	76	0.75630736	0.23159525	0.23159525	0.75630736	1.00000000	0	0
1800	180	76	0.44882953	0.15533696	0.15533696	0.44882953	1.00000000	0	0
1810	180	76	0.69363731	0.20405596	0.20405596	0.69363731	1.00000000	0	0
1820	180	76	0.21174431	0.08593960	0.08593960	0.21174431	1.00000000	0	0
1830	180	76	0.78856355	0.29739314	0.29739314	0.78856355	1.00000000	0	0
1840	180	76	0.35405815	0.12119299	0.12119299	0.35405815	1.00000000	0	0
1850	180	76	0.66277748	0.19644205	0.19644205	0.66277748	1.00000000	0	0
1860	180	76	0.25671598	0.09918883	0.09918883	0.25671598	1.00000000	0	0
1870	180	76	0.41200814	0.12960839	0.12960839	0.41200814	1.00000000	0	0
1880	180	76	0.31842038	0.11499109	0.11499109	0.31842038	1.00000000	0	0
1890	180	76	0.42038196	0.13045789	0.13045789	0.42038196	1.00000000	0	0
1900	180	76	0.26166043	0.10357965	0.10357965	0.26166043	1.00000000	0	0
1910	180	76	0.57761568	0.18458663	0.18458663	0.57761568	1.00000000	0	0
1920	180	76	0.41621244	0.12055791	0.12055791	0.41621244	1.00000000	0	0
1930	180	76	0.25542423	0.10084005	0.10084005	0.25542423	1.00000000	0	0
1940	180	76	0.42964515	0.13482580	0.13482580	0.42964515	1.00000000	0	0
1950	180	76	0.26721177	0.11254789	0.11254789	0.26721177	1.00000000	0	0
1960	180	76	0.25907016	0.10476656	0.10476656	0.25907016	1.00000000	0	0
1970	180	76	1.11516500	0.37039304	0.37039304	1.11516500	1.00000000	0	0
1980	180	76	0.45319203	0.16354296	0.16354296	0.45319203	1.00000000	0	0
1990	180	76	0.46419287	0.15839592	0.15839592	0.46419287	1.00000000	0	0
2000	180	76	0.23936419	0.09030403	0.09030403	0.23936419	1.00000000	0	0
2010	180	76	0.32131001	0.13323382	0.13323382	0.32131001	1.00000000	0	0
2020	180	76	0.39847165	0.14778164	0.14778164	0.39847165	1.00000000	0	0
2030	180	76	0.52004004	0.16016850	0.16016850	0.52004004	1.00000000	0	0
2040	180	76	0.71074802	0.23039782	0.23039782	0.71074802	1.00000000	0	0
2050	180	76	0.36238033	0.13424484	0.13424484	0.36238033	1.00000000	0	0
2060	180	76	0.50976181	0.17744467	0.17744467	0.50976181	1.00000000	0	0
2070	180	76	1.55782354	0.46935326	0.46935326	1.55782354	1.00000000	0	0
2080	180	76	1.01159978	0.34490928	0.34490928	1.01159978	1.00000000	0	0
2090	180	76	0.38807693	0.12768303	0.12768303	0.38807693	1.00000000	0	0
2100	180	76	0.38231909	0.13636361	0.13636361	0.38231909	1.00000000	0	0
2110	180	76	0.29339260	0.11920306	0.11920306	0.29339260	1.00000000	0	0
2120	180	76	0.38236618	0.13224728	0.13224728	0.38236618	1.00000000	0	0
2130	180	76	0.40571934	0.14865951	0.14865951	0.40571934	1.00000000	0	0
2140	180	76	0.46182296	0.15283392	0.15283392	0.46182296	1.00000000	0	0
2150	180	76	0.33460134	0.10943350	0.10943350	0.33460134	1.00000000	0	0
2160	180	76	0.37667909	0.13932553	0.13932553	0.37667909	1.00000000	0	0
2170	180	76	0.51585883	0.15728228	0.15728228	0.51585883	1.00000000	0	0
2180	180	76	0.37696910	0.15552723	0.15552723	0.37696910	1.00000000	0	0
2190	180	76	0.60975724	0.26699811	0.26699811	0.60975724	1.00000000	0	0
2200	180	76	0.32214347	0.11286040	0.11286040	0.32214347	1.00000000	0	0
2210	180	76	0.71948373	0.23435289	0.23435289	0.71948373	1.00000000	0	0
2220	180	76	0.27979571	0.12465605	0.12465605	0.27979571	1.00000000	0	0
2230	180	76	0.65445316	0.21025009	0.21025009	0.65445316	1.00000000	0	0
2240	180	76	0.42138225	0.16373572	0.16373572	0.42138225	1.00000000	0	0
2250	180	76	0.39585438	0.14181384	0.14181384	0.39585438	1.00000000	0	0
2260	180	76	0.29803687	0.12463125	0.12463125	0.29803687	1.00000000	0	0
2270	180	76	0.55966032	0.21812050	0.21812050	0.55966032	1.00000000	0	0
2280	180	76	0.39093485	0.15890391	0.15890391	0.39093485	1.00000000	0	0
2290	180	76	0.58456826	0.22196893	0.22196893	0.58456826	1.00000000	0	0
2300	180	76	0.34118649	0.14623499	0.14623499	0.34118649	1.00000000	0	0
2310	180	76	0.50651956	0.18412170	0.18412170	0.50651956	1.00000000	0	0
2320	180	76	0.26485884	0.11537910	0.11537910	0.26485884	1.00000000	0	0
2330	180	76	0.36928460	0.12757608	0.12757608	0.36928460	1.00000000	0	0
2340	180	76	0.23866802	0.10629001	0.10629001	0.23866802	1.00000000	0	0
2350	180	76	0.62151611	0.21684034	0.21684034	0.62151611	1.00000000	0	0
2360	180	76	0.48589844	0.16427942	0.16427942	0.48589844	1.00000000	0	0
2370	180	76	0.51015240	0.20878454	0.20878454	0.51015240	1.00000000	0	0
2380	180	76	0.31258658	0.13020134	0.13020134	0.31258658	1.00000000	0	0
2390	180	76	0.57205069	0.20800748	0.20800748	0.57205069	1.00000000	0	0
2400	180	76	0.37049398	0.15720603	0.15720603	0.37049398	1.00000000	0	0
2410	180	76	0.37630221	0.14697503	0.14697503	0.37630221	1.00000000	0	0
2420	180	76	0.49406832	0.19175905	0.19175905	0.49406832	1.00000000	0	0
2430	180	76	0.35638824	0.16052818	0.16052818	0.35638824	1.00000000	0	0
2440	180	76	0.28724524	0.10757992	0.10757992	0.28724524	1.00000000	0	0
2450	180	76	0.35203588	0.13721304	0.13721304	0.35203588	1.00000000	0	0
2460	180	76	0.34988663	0.12069402	0.12069402	0.34988663	1.00000000	0	0
2470	180	76	0.79242957	0.29224673	0.29224673	0.79242957	1.00000000	0	0
2480	180	76	0.87133247	0.27395388	0.27395388	0.87133247	1.00000000	0	0
2490	180	76	0.43909553	0.14955257	0.14955257	0.43909553	1.00000000	0	0
2500	180	76	0.31038588	0.13010477	0.13010477	0.31038588	1.00000000	0	0
2510	180	76	0.39201021	0.13448323	0.13448323	0.39201021	1.00000000	0	0
2520	180	76	0.36585474	0.13428125	0.13428125	0.36585474	1.00000000	0	0
2530	180	76	0.42222366	0.13222846	0.13222846	0.42222366	1.00000000	0	0
2540	180	76	0.41987115	0.15246134	0.15246134	0.41987115	1.00000000	0	0
2550	180	76	0.88826585	0.28302819	0.28302819	0.88826585	1.00000000	0	0
2560	180	76	0.24519260	0.11304150	0.11304150	0.24519260	1.00000000	0	0
2570	180	76	0.29490060	0.12458482	0.12458482	0.29490060	1.00000000	0	0
2580	180	76	0.46099809	0.18019138	0.18019138	0.46099809	1.00000000	0	0
2590	180	76	0.41391784	0.15323229	0.15323229	0.41391784	1.00000000	0	0
2600	180	76	0.41353220	0.15390138	0.15390138	0.41353220	1.00000000	0	0
2610	180	76	0.40274072	0.14295450	0.14295450	0.40274072	1.00000000	0	0
2620	180	76	0.34738117	0.12498611	0.12498611	0.34738117	1.00000000	0	0
2630	180	76	0.40005523	0.15705836	0.15705836	0.40005523	1.00000000	0	0
2640	180	76	0.57446510	0.21689439	0.21689439	0.57446510	1.00000000	0	0
2650	180	76	0.42517999	0.15093125	0.15093125	0.42517999	1.00000000	0	0
2660	180	76	0.32222855	0.13110080	0.13110080	0.32222855	1.00000000	0	0
2670	180	76	0.29076010	0.10725231	0.10725231	0.29076010	1.00000000	0	0
2680	180	76	0.23524326	0.09667553	0.09667553	0.23524326	1.00000000	0	0
2690	180	76	0.41278031	0.17931825	0.17931825	0.41278031	1.00000000	0	0
2700	180	76	0.42843527	0.15153758	0.15153758	0.42843527	1.00000000	0	0
2710	180	76	0.41842592	0.20338501	0.20338501	0.41842592	1.00000000	0	0
2720	180	76	0.94294870	0.31116423	0.31116423	0.94294870	1.00000000	0	0
2730	180	76	0.26531377	0.15079439	0.15079439	0.26531377	1.00000000	0	0
2740	180	76	0.31035063	0.12233859	0.12233859	0.31035063	1.00000000	0	0
2750	180	76	0.41496146	0.15270838	0.15270838	0.41496146	1.00000000	0	0
2760	180	76	0.36891243	0.13504611	0.13504611	0.36891243	1.00000000	0	0
2770	180	76	0.76708221	0.24734117	0.24734117	0.76708221	1.00000000	0	0
2780	180	76	0.79225761	0.31845951	0.31845951	0.79225761	1.00000000	0	0
2790	180	76	0.44738111	0.17684115	0.17684115	0.44738111	1.00000000	0	0
2800	180	76	0.33287382	0.13865387	0.13865387	0.33287382	1.00000000	0	0
2810	180	76	1.08077848	0.36982939	0.36982939	1.08077848	1.00000000	0	0
2820	180	76	0.76252037	0.24797107	0.24797107	0.76252037	1.00000000	0	0
2830	180	76	0.24510498	0.11632305	0.11632305	0.24510498	1.00000000	0	0
2840	180	76	0.69183362	0.23080927	0.23080927	0.69183362	1.00000000	0	0
2850	180	76	0.36430755	0.15717864	0.15717864	0.36430755	1.00000000	0	0
2860	180	76	0.41756925	0.15323256	0.15323256	0.41756925	1.00000000	0	0
2870	180	76	0.55269492	0.22014801	0.22014801	0.55269492	1.00000000	0	0
2880	180	76	0.56387681	0.24568251	0.24568251	0.56387681	1.00000000	0	0
2890	180	76	0.46622482	0.16504408	0.16504408	0.46622482	1.00000000	0	0
2900	180	76	0.47126061	0.17741248	0.17741248	0.47126061	1.00000000	0	0
2910	180	76	0.61786640	0.26182079	0.26182079	0.61786640	1.00000000	0	0
2920	180	76	0.97852665	0.31656158	0.31656158	0.97852665	1.00000000	0	0
2930	180	76	0.59265381	0.21741912	0.21741912	0.59265381	1.00000000	0	0
2940	180	76	0.37262216	0.15085280	0.15085280	0.37262216	1.00000000	0	0
2950	180	76	0.54615873	0.18440895	0.18440895	0.54615873	1.00000000	0	0
2960	180	76	0.35755321	0.14349541	0.14349541	0.35755321	1.00000000	0	0
2970	180	76	0.87108874	0.33614957	0.33614957	0.87108874	1.00000000	0	0
2980	180	76	0.32797086	0.13650252	0.13650252	0.32797086	1.00000000	0	0
2990	180	76	0.71284312	0.27658558	0.27658558	0.71284312	1.00000000	0	0
3000	180	76	0.33991769	0.12219889	0.12219889	0.33991769	1.00000000	0	0
3010	180	76	0.40000239	0.14571919	0.14571919	0.40000239	1.00000000	0	0
3020	180	76	0.57883739	0.26207942	0.26207942	0.57883739	1.00000000	0	0
3030	180	76	0.36006621	0.17562118	0.17562118	0.36006621	1.00000000	0	0
3040	180	76	0.84196568	0.29009590	0.29009590	0.84196568	1.00000000	0	0
3050	180	76	0.45276272	0.20248708	0.20248708	0.45276272	1.00000000	0	0
3060	180	76	0.54592973	0.23721771	0.23721771	0.54592973	1.00000000	0	0
3070	180	76	0.32918742	0.14071453	0.14071453	0.32918742	1.00000000	0	0
3080	180	76	0.52701753	0.16359818	0.16359818	0.52701753	1.00000000	0	0
3090	180	76	0.34972316	0.13794389	0.13794389	0.34972316	1.00000000	0	0
3100	180	76	0.79504496	0.30227107	0.30227107	0.79504496	1.00000000	0	0
3110	180	76	0.51517481	0.21825184	0.21825184	0.51517481	1.00000000	0	0
3120	180	76	0.41048029	0.16585484	0.16585484	0.41048029	1.00000000	0	0
3130	180	76	0.25183192	0.11227006	0.11227006	0.25183192	1.00000000	0	0
3140	180	76	0.45341089	0.17015159	0.17015159	0.45341089	1.00000000	0	0
3150	180	76	0.59772372	0.20819816	0.20819816	0.59772372	1.00000000	0	0
3160	180	76	0.35830894	0.14631079	0.14631079	0.35830894	1.00000000	0	0
3170	180	76	0.53869492	0.22048524	0.22048524	0.53869492	1.00000000	0	0
3180	180	76	0.45646986	0.22093852	0.22093852	0.45646986	1.00000000	0	0
3190	180	76	0.61945969	0.24145542	0.24145542	0.61945969	1.00000000	0	0
3200	180	76	0.29021457	0.11805086	0.11805086	0.29021457	1.00000000	0	0
3210	180	76	0.41340730	0.15740670	0.15740670	0.41340730	1.00000000	0	0
3220	180	76	0.53789496	0.19893843	0.19893843	0.53789496	1.00000000	0	0
3230	180	76	0.33238715	0.14066564	0.14066564	0.33238715	1.00000000	0	0
3240	180	76	0.57965666	0.21767002	0.21767002	0.57965666	1.00000000	0	0
3250	180	76	0.39150867	0.16216274	0.16216274	0.39150867	1.00000000	0	0
3260	180	76	0.70819348	0.23788965	0.23788965	0.70819348	1.00000000	0	0
3270	180	76	0.35302818	0.14781405	0.14781405	0.35302818	1.00000000	0	0
3280	180	76	0.50928110	0.19267839	0.19267839	0.50928110	1.00000000	0	0
3290	180	76	0.33875293	0.15905716	0.15905716	0.33875293	1.00000000	0	0
3300	180	76	0.95654279	0.33608887	0.33608887	0.95654279	1.00000000	0	0
3310	180	76	0.64997709	0.24643061	0.24643061	0.64997709	1.00000000	0	0
3320	180	76	0.81599438	0.32144690	0.32144690	0.81599438	1.00000000	0	0
3330	180	76	0.69920439	0.36363879	0.36363879	0.69920439	1.00000000	0	0
3340	180	76	0.68521535	0.27345604	0.27345604	0.68521535	1.00000000	0	0
3350	180	76	0.82593590	0.28983313	0.28983313	0.82593590	1.00000000	0	0
3360	180	76	0.47854099	0.19499874	0.19499874	0.47854099	1.00000000	0	0
3370	180	76	0.34537166	0.15010451	0.15010451	0.34537166	1.00000000	0	0
3380	180	76	0.49762508	0.20565878	0.20565878	0.49762508	1.00000000	0	0
